Muestra,Sabor no sabor,Light,Empresa,Internacional,Saludable,Tamaño,Material,Ergonomico,Dulce,Refrescante,Económica,Kola Negra,De Frutas
1,10,4,8,6,4,10,11,10,1,11,8,5,6
2,9,3,15,0,15,3,2,0,4,13,11,9,11
3,12,8,4,13,10,10,11,10,7,8,11,5,2
4,12,8,4,13,10,10,11,10,7,10,0,4,6
5,12,8,4,13,10,3,2,0,7,8,11,5,11
6,8,7,15,11,0,1,12,5,5,2,77,3,2
7,9,4,7,6,1,1,12,5,1,11,8,5,1
8,8,7,15,11,0,10,11,10,7,8,11,5,6
9,4,5,9,9,15,10,11,10,5,2,77,3,6
10,10,4,8,6,4,10,11,10,4,13,11,9,11
11,12,8,4,13,10,3,2,0,6,3,6,10,11
12,9,4,7,6,1,3,2,0,1,11,8,5,11
13,9,4,7,6,1,3,2,0,6,3,6,10,1
14,9,4,7,6,1,1,12,5,7,8,11,5,11
15,9,3,15,0,15,10,11,10,6,3,6,10,1
16,8,7,15,11,0,10,11,10,1,11,8,5,6
17,9,3,15,0,15,3,2,0,4,13,11,9,2
18,15,2,7,1,6,1,12,5,4,13,11,9,2
19,15,2,7,1,6,3,2,0,4,13,11,9,6
20,12,8,4,13,10,10,11,10,3,3,2,0,6
21,12,8,4,13,10,10,11,10,4,13,11,9,6
22,10,4,8,6,4,1,12,5,1,11,8,5,1
23,8,7,15,11,0,3,2,0,7,10,3,4,1
24,10,4,8,6,4,3,2,0,4,13,11,9,2
25,8,7,15,11,0,3,2,0,7,10,3,4,6
26,12,8,4,13,10,1,12,5,4,13,11,9,11
27,4,5,9,9,15,3,2,0,3,3,2,0,11
28,15,2,7,1,6,3,2,0,7,8,11,5,1
29,4,5,9,9,15,3,2,0,3,3,2,0,6
30,10,4,8,6,4,1,12,5,7,10,0,4,6
31,9,3,15,0,15,10,11,10,3,3,2,0,1
32,4,5,9,9,15,10,11,10,3,3,2,0,2
33,9,3,15,0,15,10,11,10,6,3,6,10,2
34,4,5,9,9,15,3,2,0,7,10,3,4,6
35,8,7,15,11,0,1,12,5,7,10,0,4,6
36,10,4,8,6,4,10,11,10,6,3,6,10,1
37,9,3,15,0,15,1,12,5,7,10,3,4,2
38,8,7,15,11,0,1,12,5,7,10,0,4,11
39,9,4,7,6,1,10,11,10,7,8,11,5,2
40,10,4,8,6,4,3,2,0,7,10,0,4,1
41,4,5,9,9,15,10,11,10,3,3,2,0,1
42,9,4,7,6,1,3,2,0,3,3,2,0,2
43,4,5,9,9,15,3,2,0,3,3,2,0,1
44,8,7,15,11,0,10,11,10,1,11,8,5,2
45,9,4,7,6,1,1,12,5,1,11,8,5,1
46,9,4,7,6,1,3,2,0,7,10,0,4,11
47,10,4,8,6,4,1,12,5,4,13,11,9,2
48,15,2,7,1,6,3,2,0,3,3,2,0,6
49,9,4,7,6,1,1,12,5,7,10,0,4,1
50,9,3,15,0,15,3,2,0,7,10,0,4,6
51,9,3,15,0,15,1,12,5,1,11,8,5,2
52,8,7,15,11,0,10,11,10,1,11,8,5,1
53,8,7,15,11,0,1,12,5,7,10,3,4,6
54,8,7,15,11,0,1,12,5,6,3,6,10,2
55,12,8,4,13,10,3,2,0,5,2,77,3,2
56,10,4,8,6,4,3,2,0,7,8,11,5,1
57,9,3,15,0,15,3,2,0,4,13,11,9,6
58,9,3,15,0,15,10,11,10,5,2,77,3,2
59,8,7,15,11,0,3,2,0,7,10,3,4,1
60,10,4,8,6,4,3,2,0,7,8,11,5,6
61,9,3,15,0,15,1,12,5,7,10,3,4,11
62,10,4,8,6,4,1,12,5,7,8,11,5,1
63,15,2,7,1,6,3,2,0,7,8,11,5,1
64,9,4,7,6,1,10,11,10,5,2,77,3,1
65,8,7,15,11,0,3,2,0,4,13,11,9,6
66,9,4,7,6,1,10,11,10,4,13,11,9,1
67,9,3,15,0,15,1,12,5,1,11,8,5,6
68,4,5,9,9,15,1,12,5,5,2,77,3,11
69,10,4,8,6,4,1,12,5,7,8,11,5,6
70,12,8,4,13,10,3,2,0,7,10,0,4,6
71,9,4,7,6,1,10,11,10,4,13,11,9,6
72,12,8,4,13,10,1,12,5,1,11,8,5,2
73,12,8,4,13,10,10,11,10,6,3,6,10,11
74,4,5,9,9,15,3,2,0,7,8,11,5,6
75,12,8,4,13,10,1,12,5,5,2,77,3,6
76,4,5,9,9,15,1,12,5,6,3,6,10,6
77,4,5,9,9,15,1,12,5,6,3,6,10,2
78,9,3,15,0,15,10,11,10,7,10,0,4,11
79,9,3,15,0,15,10,11,10,7,10,0,4,2
80,4,5,9,9,15,1,12,5,7,8,11,5,11
81,4,5,9,9,15,10,11,10,7,8,11,5,6
82,8,7,15,11,0,10,11,10,6,3,6,10,6
83,4,5,9,9,15,3,2,0,7,10,0,4,11
84,9,3,15,0,15,3,2,0,7,8,11,5,6
85,15,2,7,1,6,10,11,10,7,10,0,4,6
86,10,4,8,6,4,10,11,10,6,3,6,10,1
