"Muestra","Var1","Var2","Var3","Var4"
"1.0","2.0","9.0","3.0","5.0"
"2.0","0.0","8.0","11.0","6.0"
"3.0","4.0","13.0","11.0","8.0"
"4.0","3.0","13.0","2.0","11.0"
"5.0","0.0","8.0","8.0","9.0"
"6.0","9.0","5.0","10.0","0.0"
"7.0","2.0","1.0","13.0","6.0"
"8.0","2.0","7.0","6.0","10.0"
"9.0","6.0","5.0","8.0","3.0"
"10.0","3.0","6.0","12.0","11.0"
"11.0","13.0","2.0","2.0","2.0"
"12.0","0.0","8.0","2.0","1.0"
"13.0","9.0","10.0","11.0","0.0"
"14.0","9.0","1.0","5.0","2.0"
"15.0","4.0","2.0","13.0","11.0"
"16.0","10.0","1.0","7.0","3.0"
"17.0","1.0","3.0","3.0","7.0"
"18.0","9.0","7.0","6.0","2.0"
"19.0","3.0","9.0","4.0","10.0"
"20.0","5.0","9.0","6.0","12.0"
"21.0","8.0","9.0","4.0","12.0"
"22.0","0.0","2.0","5.0","1.0"
"23.0","1.0","6.0","4.0","7.0"
"24.0","11.0","6.0","0.0","0.0"
"25.0","1.0","9.0","11.0","3.0"
"26.0","7.0","11.0","0.0","8.0"
"27.0","7.0","4.0","5.0","5.0"
"28.0","11.0","13.0","6.0","2.0"
"29.0","11.0","2.0","6.0","4.0"
"30.0","2.0","11.0","6.0","7.0"
"31.0","13.0","4.0","5.0","10.0"
"32.0","12.0","11.0","13.0","9.0"
"33.0","13.0","6.0","13.0","11.0"
"34.0","12.0","0.0","8.0","3.0"
"35.0","9.0","0.0","5.0","9.0"
"36.0","5.0","0.0","3.0","7.0"
"37.0","13.0","7.0","8.0","4.0"
"38.0","4.0","12.0","7.0","2.0"
